,id,budget,popularity,revenue,title,vote_average,vote_count,director_id,year,month,day
56,43653,185000000,65,343471816,Star Trek Beyond,6.6,2568,4802,2016,Jul,Thursday
58,43655,140000000,22,258022233,Rush Hour 3,6.1,783,4786,2007,Aug,Wednesday
59,43656,200000000,45,769653595,2012,5.6,4903,4803,2009,Oct,Saturday
60,43657,200000000,39,325233863,A Christmas Carol,6.6,1095,4804,2009,Nov,Wednesday
61,43658,176000003,85,183987723,Jupiter Ascending,5.2,2768,4805,2015,Feb,Wednesday
63,43660,180000000,67,748806957,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,4774,2005,Dec,Wednesday
64,43661,178000000,139,543934787,X-Men: Apocalypse,6.4,4721,4772,2016,May,Wednesday
65,43662,185000000,187,1004558444,The Dark Knight,8.2,12002,4765,2008,Jul,Wednesday
68,43665,140000000,120,585174222,Iron Man,7.4,8776,4808,2008,Apr,Wednesday
69,43666,170000000,32,185770160,Hugo,7.0,2141,4809,2011,Nov,Tuesday
70,43667,170000000,40,222104681,Wild Wild West,5.1,1020,4776,1999,Jun,Tuesday
71,43668,145000000,60,401128639,The Mummy: Tomb of the Dragon Emperor,5.2,1387,4810,2008,Jul,Tuesday
72,43669,175000000,90,745000000,Suicide Squad,5.9,7458,4811,2016,Aug,Tuesday
73,43670,175000000,27,173000000,Evan Almighty,5.3,1151,4812,2007,Jun,Saturday
74,43671,178000000,79,370541256,Edge of Tomorrow,7.6,4858,4813,2014,May,Tuesday
75,43672,175000000,44,264218220,Waterworld,5.9,992,4814,1995,Jul,Friday
78,43675,175000000,94,966550600,The Jungle Book,6.7,2892,4808,2016,Apr,Thursday
79,43676,200000000,77,623933331,Iron Man 2,6.6,6849,4808,2010,Apr,Wednesday
90,43687,165000000,47,305875730,The Polar Express,6.4,1474,4804,2004,Nov,Wednesday
91,43688,165000000,48,389681935,Independence Day: Resurgence,4.9,2491,4803,2016,Jun,Wednesday
95,43692,165000000,724,675120017,Interstellar,8.1,10867,4765,2014,Nov,Wednesday
96,43693,160000000,167,825532764,Inception,8.1,13752,4765,2010,Jul,Wednesday
98,43695,250000000,108,1021103568,The Hobbit: An Unexpected Journey,7.0,8297,4777,2012,Nov,Monday
99,43696,38000000,6,207283925,The Fast and the Furious,6.6,3428,4810,2001,Jun,Friday
100,43697,150000000,60,333932083,The Curious Case of Benjamin Button,7.3,3292,4829,2008,Nov,Monday
102,43699,160000000,127,653428261,The Hunger Games: Mockingjay - Part 2,6.6,3984,4831,2015,Nov,Wednesday
103,43700,150000000,35,215283742,The Sorcerer's Apprentice,5.8,1470,4832,2010,Jul,Tuesday
104,43701,160000000,21,181674817,Poseidon,5.5,583,4833,2006,May,Friday
109,43706,155000000,49,415686217,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,4838,2010,Aug,Friday
110,43707,140000000,34,449220945,Pearl Harbor,6.6,1791,4788,2001,May,Monday
111,43708,150000000,25,709709780,Transformers,6.6,4040,4788,2007,Jun,Wednesday
112,43709,155000000,39,167298192,Alexander,5.6,927,4839,2004,Nov,Sunday
114,43711,150000000,101,895921036,Harry Potter and the Goblet of Fire,7.5,5608,4797,2005,Nov,Saturday
115,43712,150000000,56,624029371,Hancock,6.2,2961,4782,2008,Jul,Tuesday
116,43713,150000000,70,585349010,I Am Legend,6.9,4853,4831,2007,Dec,Friday
117,43714,150000000,53,474968763,Charlie and the Chocolate Factory,6.7,3624,4785,2005,Jul,Wednesday
119,43716,150000000,115,374218673,Batman Begins,7.5,7359,4765,2005,Jun,Friday
121,43718,150000000,81,413106170,Night at the Museum: Battle of the Smithsonian,5.9,1971,4842,2009,May,Wednesday
123,43720,150000000,73,424988211,The Matrix Revolutions,6.4,3096,4805,2003,Nov,Wednesday
125,43722,150000000,70,738599701,The Matrix Reloaded,6.7,3443,4805,2003,May,Thursday
127,43724,150000000,434,378858340,Mad Max: Fury Road,7.2,9427,4845,2015,May,Wednesday
128,43725,150000000,67,356613439,Angels & Demons,6.5,2129,4846,2009,May,Wednesday
129,43726,150000000,86,449326618,Thor,6.6,6525,4847,2011,Apr,Thursday
132,43729,150000000,44,301000000,Wrath of the Titans,5.5,1431,4849,2012,Mar,Tuesday
133,43730,150000000,50,245527149,Dark Shadows,5.7,2320,4785,2012,May,Tuesday
138,43735,150000000,33,318502923,The Last Airbender,4.7,1151,4854,2010,Jun,Wednesday
140,43737,150000000,39,205366737,White House Down,6.4,1891,4803,2013,Jun,Thursday
143,43740,150000000,48,128388320,Pan,5.9,954,4857,2015,Sep,Thursday
144,43741,145000000,38,272912430,Mr. Peabody & Sherman,6.7,843,4858,2014,Feb,Friday
145,43742,175000000,66,497409852,Troy,6.9,2759,4833,2004,May,Thursday
147,43744,140000000,54,431971116,Die Another Day,5.8,1092,4859,2002,Nov,Sunday
149,43746,140000000,58,553799566,Armageddon,6.4,2482,4788,1998,Jul,Wednesday
150,43747,140000000,91,441818803,Men in Black II,6.0,3114,4776,2002,Jul,Wednesday
151,43748,70000000,35,195735876,Beowulf,5.5,841,4804,2007,Nov,Monday
156,43753,140000000,52,456758981,The Last Samurai,7.3,1895,4863,2003,Dec,Friday
157,43754,140000000,101,268031828,Exodus: Gods and Kings,5.6,1921,4779,2014,Dec,Wednesday
159,43756,139000000,82,821708551,Spider-Man,6.8,5265,4767,2002,May,Wednesday
161,43758,140000000,56,150680864,Gods of Egypt,5.3,1277,4865,2016,Feb,Thursday
162,43759,135000000,17,76932943,Stealth,4.9,331,4810,2005,Jul,Thursday
163,43760,130000000,64,185258983,Watchmen,7.0,2811,4771,2009,Mar,Thursday
164,43761,140000000,24,285444603,Lethal Weapon 4,6.3,767,4866,1998,Jul,Friday
165,43762,137000000,34,245360480,Hulk,5.3,1533,4867,2003,Jun,Thursday
166,43763,130000000,59,371876278,G.I. Joe: Retaliation,5.4,3025,4868,2013,Mar,Tuesday
170,43767,135000000,39,361832400,The World Is Not Enough,6.0,862,4838,1999,Nov,Monday
172,43769,120000000,99,829000000,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,4872,2012,Nov,Tuesday
173,43770,130000000,17,150406466,Happy Feet Two,5.8,373,4845,2011,Nov,Thursday
174,43771,150000000,62,163712074,The Incredible Hulk,6.1,3021,4873,2008,Jun,Thursday
175,43772,140000000,44,183345589,The BFG,6.0,1000,4799,2016,Jun,Wednesday
176,43773,135000000,100,532950503,The Revenant,7.3,6396,4874,2015,Dec,Friday
178,43775,135000000,29,245724603,Rango,6.6,2051,4763,2011,Mar,Wednesday
180,43777,70000000,45,442824138,The Bourne Ultimatum,7.3,2888,4876,2007,Aug,Friday
183,43780,130000000,76,847423452,The Hunger Games: Catching Fire,7.4,6495,4831,2013,Nov,Friday
185,43782,132000000,48,591739379,War of the Worlds,6.2,2322,4799,2005,Jun,Tuesday
186,43783,130000000,38,273339556,Bad Boys II,6.3,1564,4788,2003,Jul,Friday
188,43785,110000000,48,293329073,Salt,6.2,2093,4880,2010,Jul,Wednesday
189,43786,125000000,46,362637473,Noah,5.6,2350,4881,2014,Mar,Thursday
190,43787,130000000,89,371940071,The Adventures of Tintin,6.7,2061,4799,2011,Oct,Tuesday
193,43790,130000000,42,243843127,After Earth,5.0,2532,4854,2013,May,Thursday
195,43792,127000000,115,349424282,Night at the Museum: Secret of the Tomb,6.1,1851,4842,2014,Dec,Wednesday
197,43794,125000000,109,976475550,Harry Potter and the Philosopher's Stone,7.5,7006,4885,2001,Nov,Friday
198,43795,130000000,39,61648500,R.I.P.D.,5.4,1260,4886,2013,Jul,Thursday
199,43796,140000000,271,655011224,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,4763,2003,Jul,Wednesday
200,43797,125000000,206,752100229,The Hunger Games: Mockingjay - Part 1,6.6,5584,4831,2014,Nov,Tuesday
201,43798,125000000,45,767820459,The Da Vinci Code,6.5,2704,4846,2006,May,Wednesday
203,43800,110000000,2,407711549,X2,6.8,3506,4772,2003,Apr,Thursday
204,43801,125000000,7,626137675,Fast Five,7.1,2438,4802,2011,Apr,Wednesday
205,43802,125000000,81,334615000,Sherlock Holmes: A Game of Shadows,7.0,3886,4888,2011,Nov,Tuesday
206,43803,125000000,47,232713139,Clash of the Titans,5.6,2233,4873,2010,Apr,Thursday
207,43804,65000000,43,261317921,Total Recall,7.1,1710,4889,1990,Jun,Friday
208,43805,160000000,27,61698899,The 13th Warrior,6.4,510,4890,1999,Aug,Friday
210,43807,125000000,50,238207122,Batman & Robin,4.2,1418,4892,1997,Jun,Friday
211,43808,123000000,45,345141403,How the Grinch Stole Christmas,6.2,1386,4846,2000,Nov,Friday
212,43809,125000000,41,544272402,The Day After Tomorrow,6.2,2392,4803,2004,May,Wednesday
213,43810,125000000,54,546388105,Mission: Impossible II,5.9,1928,4893,2000,May,Wednesday
214,43811,120000000,25,325756637,The Perfect Storm,6.2,597,4833,2000,Mar,Wednesday
215,43812,130000000,60,289047763,Fantastic 4: Rise of the Silver Surfer,5.4,2589,4894,2007,Jun,Wednesday
216,43813,120000000,51,609016565,Life of Pi,7.2,5797,4867,2012,Nov,Tuesday
218,43815,120000000,62,415484914,Jason Bourne,5.9,2341,4876,2016,Jul,Wednesday
219,43816,120000000,33,259175788,Charlie's Angels: Full Throttle,5.2,914,4793,2003,Jun,Friday
220,43817,130000000,68,403170142,Prometheus,6.3,5080,4779,2012,May,Wednesday
221,43818,120000000,27,169956806,Stuart Little 2,5.4,613,4858,2002,Jul,Friday
225,43822,120000000,17,93945766,Speed Racer,5.7,354,4805,2008,May,Friday
227,43824,117000000,44,261930431,Knight and Day,5.9,1547,4900,2010,Jun,Tuesday
232,43829,120000000,15,415440673,The Wolverine,6.3,4053,4900,2013,Jul,Tuesday
236,43833,115000000,18,77628265,Windtalkers,5.8,341,4893,2002,Jun,Friday
238,43835,125000000,143,477200000,Teenage Mutant Ninja Turtles,5.8,2636,4849,2014,Aug,Thursday
240,43837,116000000,16,178127760,Dante's Peak,5.7,428,4904,1997,Feb,Friday
243,43840,110000000,48,574480841,Night at the Museum,6.3,2862,4842,2006,Oct,Friday
246,43843,110000000,23,215294342,The Patriot,6.8,1099,4803,2000,Jun,Wednesday
247,43844,110000000,76,362744280,Ocean's Twelve,6.4,2124,4909,2004,Dec,Thursday
248,43845,110000000,44,478207520,Mr. & Mrs. Smith,6.5,2965,4813,2005,Jun,Tuesday
249,43846,110000000,103,295238201,Insurgent,6.2,3829,4886,2015,Mar,Wednesday
250,43847,116000000,45,102000000,The Aviator,7.0,1489,4809,2004,Dec,Friday
254,43851,110000000,36,563749323,The Smurfs,5.5,1179,4913,2011,Jul,Friday
256,43853,110000000,86,179246868,Allegiant,5.9,1998,4886,2016,Mar,Wednesday
257,43854,110000000,37,299268508,Real Steel,6.6,2692,4842,2011,Sep,Wednesday
258,43855,105000000,32,347434178,The Smurfs 2,5.5,695,4913,2013,Jul,Tuesday
259,43856,160000000,23,164508066,Speed 2: Cruise Control,4.1,434,4915,1997,Jun,Friday
262,43859,93000000,138,871368364,The Lord of the Rings: The Fellowship of the Ring,8.0,8705,4777,2001,Dec,Tuesday
263,43860,110000000,22,72178895,Around the World in 80 Days,5.7,672,4917,2004,Jun,Wednesday
264,43861,107000000,18,87713825,Ali,6.7,447,4918,2001,Dec,Tuesday
266,43863,120000000,95,347234916,"I, Robot",6.7,3793,4865,2004,Jul,Thursday
267,43864,130000000,44,211643158,Kingdom of Heaven,6.6,1157,4779,2005,May,Tuesday
268,43865,133000000,30,300135367,Stuart Little,5.8,959,4858,1999,Dec,Friday
270,43867,108000000,167,630161890,The Martian,7.6,7268,4779,2015,Sep,Wednesday
271,43868,126000000,37,162949164,The Island,6.5,1770,4788,2005,Jul,Wednesday
272,43869,90000000,1,10372291,Town & Country,3.7,16,4921,2001,Apr,Friday
274,43871,103000000,95,457640427,Gladiator,7.9,5439,4779,2000,May,Monday
275,43872,102000000,65,358372926,Minority Report,7.1,2608,4799,2002,Jun,Thursday
276,43873,100000000,132,876688482,Harry Potter and the Chamber of Secrets,7.4,5815,4885,2002,Nov,Wednesday
277,43874,150000000,88,599045960,Casino Royale,7.3,3855,4791,2006,Nov,Tuesday
278,43875,100000000,51,362211740,Planet of the Apes,5.6,1243,4785,2001,Jul,Wednesday
279,43876,100000000,101,520000000,Terminator 2: Judgment Day,7.7,4185,4762,1991,Jul,Monday
280,43877,80000000,33,214104620,Public Enemies,6.5,1344,4918,2009,Jul,Wednesday
281,43878,100000000,42,266465037,American Gangster,7.4,1502,4779,2007,Nov,Friday
282,43879,115000000,38,378882411,True Lies,6.8,1116,4762,1994,Jul,Thursday
283,43880,100000000,40,150166126,The Taking of Pelham 1 2 3,6.2,954,4923,2009,Jun,Thursday
284,43881,100000000,32,310650585,Little Fockers,5.4,1060,4924,2010,Dec,Tuesday
285,43882,100000000,24,170432927,The Other Guys,6.1,1383,4925,2010,Aug,Friday
286,43883,100000000,24,242295562,Eraser,5.6,543,4926,1996,Jun,Friday
287,43884,100000000,82,425368238,Django Unchained,7.8,10099,4927,2012,Dec,Tuesday
290,43887,100000000,53,312573423,The Expendables 2,6.1,2896,4930,2012,Aug,Wednesday
291,43888,100000000,58,347451894,National Treasure,6.4,1926,4832,2004,Nov,Friday
296,43893,100000000,20,211989043,End of Days,5.5,482,4935,1999,Nov,Wednesday
297,43894,100000000,52,170877916,Blood Diamond,7.3,2281,4863,2006,Dec,Thursday
298,43895,100000000,95,392000694,The Wolf of Wall Street,7.9,6571,4809,2013,Dec,Wednesday
299,43896,100000000,48,336529144,Batman Forever,5.2,1498,4892,1995,May,Wednesday
300,43897,105000000,58,121214377,Starship Troopers,6.7,1560,4889,1997,Nov,Thursday
301,43898,102000000,73,130482868,Cloud Atlas,6.6,2977,4936,2012,Oct,Friday
302,43899,80000000,37,140073390,Legend of the Guardians: The Owls of Ga'Hoole,6.5,703,4771,2010,Jul,Saturday
304,43901,100000000,76,243400000,Hercules,5.6,1680,4786,2014,Jul,Wednesday
310,43907,100000000,50,93820758,In the Heart of the Sea,6.5,1276,4846,2015,Nov,Friday
312,43909,100000000,30,94882889,Green Zone,6.4,717,4876,2010,Mar,Thursday
316,43913,100000000,46,193772504,Gangs of New York,7.1,1910,4809,2002,Dec,Saturday
317,43914,94000000,12,95311434,The Flowers of War,7.1,187,4945,2011,Dec,Thursday
319,43916,90000000,19,102000000,The Stepford Wives,5.4,334,4947,2004,Jun,Thursday
320,43917,92000000,44,172989651,Black Hawk Down,7.2,1811,4779,2001,Dec,Friday
321,43918,0,16,104907746,The Campaign,5.6,578,4948,2012,Aug,Thursday
322,43919,90000000,109,263920180,The Fifth Element,7.3,3885,4949,1997,May,Wednesday
326,43923,95000000,101,543514353,Cinderella,6.7,2374,4847,2015,Mar,Thursday
327,43924,65000000,29,93525586,The Lovely Bones,6.6,1065,4777,2009,Dec,Saturday
329,43926,94000000,123,1118888979,The Lord of the Rings: The Return of the King,8.1,8064,4777,2003,Dec,Monday
330,43927,79000000,106,926287400,The Lord of the Rings: The Two Towers,8.0,7487,4777,2002,Dec,Wednesday
332,43929,115000000,41,274703340,Lara Croft: Tomb Raider,5.7,2192,4930,2001,Jun,Monday
336,43933,90000000,21,162839667,The Spiderwick Chronicles,6.3,572,4955,2008,Feb,Thursday
340,43937,98000000,7,10017322,Cutthroat Island,5.7,136,4958,1995,Dec,Friday
341,43938,95000000,61,226497209,Percy Jackson & the Olympians: The Lightning Thief,6.0,2010,4885,2010,Feb,Monday
342,43939,90000000,104,589390539,Men in Black,6.9,4412,4776,1997,Jul,Wednesday
344,43941,100000000,37,167805466,Unstoppable,6.3,1165,4923,2010,Nov,Thursday
345,43942,90000000,35,347325802,Rush Hour 2,6.4,1054,4786,2001,Aug,Friday
346,43943,100000000,15,155464351,What Lies Beneath,6.3,488,4804,2000,Jul,Friday
349,43946,90000000,43,188133322,The Secret Life of Walter Mitty,7.0,3144,4960,2013,Dec,Wednesday
350,43947,92000000,40,264105545,Charlie's Angels,5.6,1232,4793,2000,Nov,Thursday
351,43948,90000000,63,289847354,The Departed,7.9,4339,4809,2006,Oct,Thursday
353,43950,92000000,43,188072649,Tropic Thunder,6.5,1667,4960,2008,Aug,Saturday
354,43951,90000000,47,232617430,The Girl with the Dragon Tattoo,7.2,2434,4829,2011,Dec,Wednesday
355,43952,90000000,51,366101666,Die Hard: With a Vengeance,6.9,2066,4890,1995,May,Friday
356,43953,90000000,57,524028679,Sherlock Holmes,7.0,5766,4888,2009,Dec,Wednesday
360,43957,75000000,38,200276000,Valkyrie,6.7,1173,4772,2008,Dec,Thursday
361,43958,90000000,40,201596308,You Don't Mess with the Zohan,5.5,1048,4964,2008,Jun,Thursday
362,43959,88000000,140,243637091,Pixels,5.6,2513,4885,2015,Jul,Thursday
363,43960,100000000,34,235926552,A.I. Artificial Intelligence,6.8,1974,4799,2001,Jun,Friday
364,43961,90000000,16,182290266,The Haunted Mansion,5.2,466,4858,2003,Nov,Tuesday
365,43962,90000000,55,171120329,Contact,7.2,1308,4804,1997,Jul,Friday
366,43963,95000000,28,190213455,Hollow Man,5.6,634,4889,2000,Aug,Friday
367,43964,80000000,18,162944923,The Interpreter,6.2,392,4965,2005,Apr,Friday
369,43966,95000000,56,156505388,Lara Croft Tomb Raider: The Cradle of Life,5.5,1418,4915,2003,Jul,Monday
370,43967,90000000,51,334901337,Now You See Me 2,6.7,3235,4868,2016,Jun,Thursday
371,43968,68000000,20,118063304,The Saint,5.9,302,4880,1997,Apr,Thursday
372,43969,92000000,27,143049560,Spy Game,6.8,579,4923,2001,Nov,Sunday
373,43970,90000000,16,60874615,Mission to Mars,5.7,369,4967,2000,Mar,Friday
375,43972,100000000,24,93700000,Bicentennial Man,6.9,963,4885,1999,Dec,Friday
380,43977,88000000,24,108539911,Cinderella Man,7.3,616,4846,2005,Jun,Thursday
383,43980,92000000,32,494471524,Twister,6.1,950,4915,1996,May,Friday
384,43981,90000000,57,429632142,Cast Away,7.5,3218,4804,2000,Dec,Friday
385,43982,100000000,37,384335608,Happy Feet,5.9,1410,4845,2006,Nov,Thursday
386,43983,75000000,53,288500217,The Bourne Supremacy,7.2,2825,4876,2004,Jul,Friday
387,43984,85000000,36,315156409,Air Force One,6.2,840,4833,1997,Jul,Friday
388,43985,85000000,60,450717150,Ocean's Eleven,7.2,3783,4909,2001,Dec,Friday
389,43986,75000000,36,132274484,The Three Musketeers,5.6,924,4974,2011,Aug,Wednesday
394,43991,75000000,36,152930623,Tower Heist,5.8,932,4786,2011,Nov,Wednesday
395,43992,85000000,44,194168700,The Holiday,6.7,1225,4978,2006,Dec,Friday
396,43993,90000000,41,250649836,Enemy of the State,6.7,1240,4923,1998,Nov,Friday
397,43994,85000000,16,219103655,It's Complicated,6.2,360,4978,2009,Dec,Wednesday
398,43995,85000000,42,311312624,Ocean's Thirteen,6.5,1999,4909,2007,Jun,Thursday
402,43999,85000000,24,80916492,The Rundown,6.4,514,4782,2003,Sep,Friday
403,44000,85000000,32,137298489,Last Action Hero,6.1,712,4890,1993,Jun,Friday
404,44001,85000000,16,162242962,Memoirs of a Geisha,7.3,652,4775,2005,Dec,Tuesday
405,44002,85000000,8,158468292,The Fast and the Furious: Tokyo Drift,6.1,1705,4802,2006,Jun,Saturday
413,44010,84000000,17,123307945,Nutty Professor II: The Klumps,4.7,332,4989,2000,Jul,Thursday
414,44011,84000000,31,275650703,Scooby-Doo,5.4,820,4913,2002,Jun,Friday
416,44013,82500000,41,237681299,Click,6.0,2104,4917,2006,Jun,Thursday
417,44014,8000000,13,21028755,Creepshow,6.7,226,4991,1982,Nov,Friday
419,44016,85000000,21,222231186,Jumper,5.9,1799,4813,2008,Feb,Sunday
420,44017,85000000,58,160388063,Hellboy II: The Golden Army,6.5,1527,4798,2008,Jul,Friday
421,44018,65000000,51,84785914,Zodiac,7.3,2023,4829,2007,Mar,Friday
423,44020,80000000,109,484572835,Bruce Almighty,6.4,3012,4812,2003,May,Friday
425,44022,80000000,75,457696359,Mission: Impossible,6.7,2631,4967,1996,May,Wednesday
427,44024,80000000,58,254455986,The Hangover Part II,6.2,3739,4993,2011,May,Wednesday
428,44025,80000000,59,280000000,Batman Returns,6.6,1673,4785,1992,Jun,Friday
431,44028,85000000,14,144000000,Charlotte's Web,5.8,288,4995,2006,Dec,Friday
434,44031,82000000,26,190320568,The Longest Yard,6.2,785,4989,2005,May,Thursday
436,44033,80000000,45,246984278,Grown Ups 2,5.8,1155,4964,2013,Jul,Thursday
437,44034,80000000,23,230685453,Get Smart,6.0,1051,4989,2008,Jun,Thursday
438,44035,80000000,16,266728738,Something's Gotta Give,6.3,410,4978,2003,Dec,Friday
439,44036,80000000,81,294804195,Shutter Island,7.8,6336,4809,2010,Feb,Thursday
442,44039,80000000,46,245676146,Face/Off,6.8,1583,4893,1997,Jun,Friday
443,44040,80000000,23,212874442,Bedtime Stories,5.9,901,4998,2008,Dec,Wednesday
444,44041,80000000,49,181001478,Road to Perdition,7.3,1077,4764,2002,Jul,Friday
445,44042,80000000,37,214918407,Just Go with It,6.3,1543,4964,2011,Feb,Thursday
446,44043,75000000,45,224012234,Con Air,6.5,1270,4930,1997,Jun,Sunday
450,44047,80000000,11,177977226,Flubber,5.3,695,5002,1997,Nov,Wednesday
451,44048,80000000,19,91188905,The Haunting,5.2,369,4915,1999,Jul,Friday
453,44050,0,25,0,The Pink Panther,5.6,550,4842,2006,Jan,Wednesday
455,44052,75000000,22,136982834,Conspiracy Theory,6.5,431,4866,1997,Aug,Thursday
456,44053,68000000,139,211817906,Fury,7.4,3946,4811,2014,Oct,Wednesday
457,44054,70000000,18,164000000,Six Days Seven Nights,5.6,332,5005,1998,Jun,Friday
460,44057,80000000,27,169852759,Zookeeper,5.3,498,4917,2011,Jul,Wednesday
461,44058,80000000,17,136159423,Lost in Space,5.0,388,5008,1998,Apr,Friday
462,44059,80000000,21,96105964,The Manchurian Candidate,6.2,393,5009,2004,Jul,Friday
469,44066,75000000,31,142400065,The Legend of Zorro,5.9,893,4791,2005,Oct,Monday
472,44069,88000000,40,105316267,The Brothers Grimm,5.6,818,5014,2005,Aug,Friday
473,44070,70000000,44,101371017,Mars Attacks!,6.1,1509,4785,1996,Dec,Thursday
475,44072,0,20,43312294,The Edge,6.7,349,4859,1997,Sep,Saturday
477,44074,80000000,18,34566746,Thirteen Days,6.9,189,4904,2000,Dec,Sunday
478,44075,80000000,16,159212469,Daylight,5.8,378,4810,1996,Dec,Friday
481,44078,80000000,16,68514844,Looney Tunes: Back in Action,5.6,297,5017,2003,Nov,Friday
482,44079,80000000,9,53825515,Nine,5.1,165,4775,2009,Dec,Thursday
483,44080,80000000,11,19480739,Timeline,5.4,318,4866,2003,Nov,Wednesday
485,44082,90000000,11,69131860,Babe: Pig in the City,5.2,305,4845,1998,Nov,Wednesday
488,44085,86000000,27,107944236,Arthur and the Invisibles,6.0,639,4949,2006,Dec,Wednesday
490,44087,80000000,7,5989640,A Sound of Thunder,4.8,111,4935,2005,May,Sunday
491,44088,130000000,50,117831631,Pompeii,5.2,1267,4974,2014,Feb,Tuesday
493,44090,60000000,59,313542341,A Beautiful Mind,7.7,3009,4846,2001,Dec,Tuesday
497,44094,78000000,10,209196298,Red Dragon,6.7,1115,4786,2002,Sep,Sunday
499,44096,79000000,22,149673788,Jack and Jill,4.1,604,4964,2011,Nov,Friday
500,44097,76000000,10,236350661,2 Fast 2 Furious,6.2,2028,5024,2003,Jun,Thursday
507,44104,75000000,60,816969268,Independence Day,6.7,3260,4803,1996,Jun,Tuesday
508,44105,73000000,2,229074524,The Lost World: Jurassic Park,6.2,2487,4799,1997,May,Friday
511,44108,75000000,4,296339527,X-Men,6.8,4097,4772,2000,Jul,Thursday
513,44110,75000000,51,335062621,The Rock,6.9,1456,4788,1996,Jun,Thursday
515,44112,75000000,61,196482882,50 First Dates,6.6,2105,4989,2004,Feb,Friday
516,44113,50000000,31,90450008,Hairspray,6.5,709,4998,2007,Jul,Friday
