,director_name,id,gender
181,Steve Martino,4943,Male
182,David Mamet,4944,Male
183,Zhang Yimou,4945,Male
184,Ash Brannon,4946,Male
185,Frank Oz,4947,Male
186,Jay Roach,4948,Male
187,Luc Besson,4949,Male
188,Michael Patrick King,4950,Male
189,Don Michael Paul,4951,Male
190,Sergei Bodrov,4952,
191,Wally Pfister,4953,Male
192,Rupert Wyatt,4954,
193,Mark Waters,4955,Male
194,John Moore,4956,Male
195,John Lee Hancock,4957,Male
196,Renny Harlin,4958,Male
197,Phil Lord,4959,
198,Ben Stiller,4960,Male
199,Tony Bancroft,4961,Male
200,Timur Bekmambetov,4962,Male
201,Walt Becker,4963,Male
202,Dennis Dugan,4964,Male
203,Sydney Pollack,4965,Male
204,Thor Freudenthal,4966,Male
205,Brian De Palma,4967,Male
206,Mick Jackson,4968,Male
207,Alan J. Pakula,4969,Male
208,Kathryn Bigelow,4970,Female
209,John Milius,4971,Male
210,Andrei Konchalovsky,4972,Male
211,Gary Ross,4973,Male
212,Paul W.S. Anderson,4974,Male
213,Genndy Tartakovsky,4975,
214,Kevin Lima,4976,Male
215,Daniel Espinosa,4977,Male
216,Nancy Meyers,4978,Female
217,Jill Culton,4979,Female
218,Neil Burger,4980,Male
219,Jean-Jacques Annaud,4981,Male
220,Barry Cook,4982,Male
221,Martin Brest,4983,Male
222,Andrew Davis,4984,Male
223,Bob Fosse,4985,
224,Tarsem Singh,4986,Male
225,Edgar Wright,4987,Male
226,Jon Amiel,4988,Male
227,Peter Segal,4989,Male
228,Pete Travis,4990,
229,George A. Romero,4991,Male
230,Sylvester Stallone,4992,Male
231,Todd Phillips,4993,Male
232,Karey Kirkpatrick,4994,Male
233,Gary Winick,4995,Male
234,Mimi Leder,4996,Female
235,Seth Gordon,4997,Male
236,Adam Shankman,4998,Male
237,D.J. Caruso,4999,Male
238,Anthony Minghella,5000,Male
239,Albert Hughes,5001,Male
240,Les Mayfield,5002,
241,Joe Pytka,5003,Male
242,Scott Derrickson,5004,Male
243,Ivan Reitman,5005,Male
244,Eric Brevig,5006,Male
245,Kelly Asbury,5007,Male
246,Stephen Hopkins,5008,Male
247,Jonathan Demme,5009,Male
248,Henry Jaglom,5010,Male
249,James Algar,5011,Male
250,Vincent Ward,5012,
251,Steven Brill,5013,Male
252,Terry Gilliam,5014,Male
253,Lucile Hadzihalilovic,5015,
254,Roger Christian,5016,Male
255,Joe Dante,5017,Male
256,Kevin Costner,5018,Male
257,Antony Hoffman,5019,Male
258,Jacques Perrin,5020,Male
259,Andrés Couturier,5021,
260,Roger Allers,5022,Male
261,Cody Cameron,5023,Male
262,John Singleton,5024,Male
263,Oliver Hirschbiegel,5025,Male
264,Des McAnuff,5026,Male
265,Chris Renaud,5027,
266,Stephen Norrington,5028,Male
267,Pierre Coffin,5029,Male
268,David Kellogg,5030,Male
269,Mike Nichols,5031,Male
270,Vicky Jenson,5032,Female
271,F. Gary Gray,5033,Male
272,Antoine Fuqua,5034,Male
273,Robert Luketic,5035,Male
274,Gil Kenan,5036,Male
275,Barry Levinson,5037,Male
276,Jerry Zucker,5038,Male
277,Andy Tennant,5039,Male
278,Florent-Emilio Siri,5040,
279,Gary Goldman,5041,Male
280,Ron Shelton,5042,Male
281,Àlex Pastor,5043,Male
282,Henry Selick,5044,Male
283,Kyle Balda,5045,
284,Fergal Reilly,5046,
285,Judd Apatow,5047,Male
286,Steve Carr,5048,Male
287,Mel Gibson,5049,Male
288,David Silverman,5050,Male
289,Frank Darabont,5051,Male
290,Betty Thomas,5052,Female
291,Garry Marshall,5053,Male
292,Paul Tibbitt,5054,
293,Clark Johnson,5055,Male
294,Cameron Crowe,5056,Male
295,Randall Wallace,5057,Male
296,Jonathan Frakes,5058,Male
297,George Clooney,5059,Male
298,Gary Shore,5060,
299,Andrzej Bartkowiak,5061,Male
300,Måns Mårlind,5062,Male
301,Gregory Hoblit,5063,Male
302,Gary McKendry,5064,
303,Wych Kaosayananda,5065,
304,Mikael Salomon,5066,Male
305,Bobby Farrelly,5067,Male
306,Dan St. Pierre,5068,
307,Kerry Conran,5069,Male
308,Michael Caton-Jones,5070,Male
309,Mikael Håfström,5071,
310,Phil Alden Robinson,5072,Male
311,David Slade,5073,Male
312,Joseph Ruben,5074,Male
313,Seth MacFarlane,5075,Male
314,Alejandro Amenábar,5076,Male
315,Kinka Usher,5077,
316,Craig Gillespie,5078,
317,Rob Bowman,5079,Male
318,Doug Lefler,5080,
319,Scott Waugh,5081,Male
320,Lawrence Kasdan,5082,Male
321,Michael Lembeck,5083,Male
322,Tom Hooper,5084,Male
323,Nora Ephron,5085,
324,Angelina Jolie,5086,Female
325,Clint Eastwood,5087,Male
326,Larry Charles,5088,Male
327,Stanley Kubrick,5089,Male
328,Will Gluck,5090,Male
329,Glenn Ficarra,5091,Male
330,David S. Goyer,5092,Male
331,Taylor Hackford,5093,
332,Michael Lehmann,5094,Male
333,Stuart Beattie,5095,
334,Roman Polanski,5096,Male
335,Robert Rodriguez,5097,
336,Baltasar Kormákur,5098,Male
337,Daniel Lee,5099,Male
338,Keenen Ivory Wayans,5100,Male
339,Rob Reiner,5101,Male
340,Marco Schnabel,5102,Male
341,Demian Lichtenstein,5103,Male
342,Josh Gordon,5104,Male
343,Tim Hill,5105,Male
344,David Frankel,5106,Male
345,Marc Lawrence,5107,Male
346,Peter Billingsley,5108,Male
347,Wes Ball,5109,
348,Ryan Murphy,5110,Male
349,Robert Redford,5111,Male
350,Jay Russell,5112,Male
351,Kenny Ortega,5113,Male
352,David McNally,5114,Male
353,Brian Robbins,5115,Male
354,Brian Levant,5116,Male
355,Steven Zaillian,5117,Male
356,Sam Fell,5118,Male
357,Jon Avnet,5119,Male
358,Robert Stevenhagen,5120,
359,Kevin Donovan,5121,Male
360,Geoff Murphy,5122,Male
361,David O. Russell,5123,Male
362,Babak Najafi,5124,Male
363,Jean-Pierre Jeunet,5125,Male
364,Anthony Stacchi,5126,Male
365,Griffin Dunne,5127,
366,John Pasquin,5128,Male
367,Ruben Fleischer,5129,Male
368,Harold Ramis,5130,Male
369,Kevin Macdonald,5131,Male
370,Donald Petrie,5132,Male
371,Jorge Blanco,5133,Male
372,Stuart Baird,5134,Male
373,Joel Coen,5135,
374,Robert Lorenz,5136,Male
375,Harold Becker,5137,Male
376,Scott Stewart,5138,
377,Tony Bill,5139,Male
378,Rod Lurie,5140,Male
379,Walter Hill,5141,Male
380,Akiva Goldsman,5142,Male
381,Harald Zwart,5143,Male
382,Walter Salles,5144,Male
383,Iain Softley,5145,Male
384,Frank Miller,5146,Male
385,David Koepp,5147,Male
386,Uwe Boll,5148,Male
387,Soi Cheang,5149,Male
388,John Dahl,5150,Male
389,Tim Miller,5151,Male
390,Stephen Herek,5152,Male
391,Peter MacDonald,5153,Male
392,Anthony Hemingway,5154,
393,Sean Anders,5155,Male
394,Brian Taylor,5156,Male
395,John Madden,5157,
396,Kevin Bray,5158,Male
397,Mike Gabriel,5159,Male
398,Sam Weisman,5160,Male
399,Jesse Dylan,5161,Male
400,Wayne Wang,5162,
401,Gabriele Muccino,5163,Male
402,Tom Dey,5164,Male
403,Jimmy Hayward,5165,Male
404,Alan Parker,5166,Male
405,John Frankenheimer,5167,Male
406,Paul King,5168,Male
407,Akiva Schaffer,5169,Male
408,William Friedkin,5170,
409,Kent Alterman,5171,Male
410,Peter Lord,5172,Male
411,Shekhar Kapur,5173,Male
412,Karyn Kusama,5174,Female
413,Ronald F. Maxwell,5175,Male
414,Robert Butler,5176,Male
415,Steve Antin,5177,Male
416,Jim Gillespie,5178,Male
417,Francis Ford Coppola,5179,Male
418,Richard Lester,5180,
419,Scott Cooper,5181,Male
420,Curtis Hanson,5182,Male
421,Phyllida Lloyd,5183,Female
422,Jay Chandrasekhar,5184,Male
423,Terrence Malick,5185,Male
424,David Dobkin,5186,Male
425,Miloš Forman,5187,Male
426,Pierre Morel,5188,Male
427,Paul Hunter,5189,Male
428,Steve Oedekerk,5190,Male
429,John Whitesell,5191,Male
430,George Nolfi,5192,Male
431,Neil Jordan,5193,
432,Rawson Marshall Thurber,5194,
433,Spike Lee,5195,Male
434,Brian Helgeland,5196,Male
435,Frank Marshall,5197,Male
436,Hideo Nakata,5198,Male
437,Peter Hewitt,5199,Male
438,Joe Roth,5200,
439,Bennett Miller,5201,Male
440,Jaume Collet-Serra,5202,Male
441,Andy Fickman,5203,Male
442,James McTeigue,5204,Male
443,Matthew O'Callaghan,5205,Male
444,Angela Robinson,5206,Female
445,Gary Fleder,5207,Male
446,Tommy Wirkola,5208,Male
447,Adrian Lyne,5209,Male
448,Stephen Gaghan,5210,Male
449,Jorge R. Gutierrez,5211,
450,Richard Loncraine,5212,Male
451,Christophe Gans,5213,Male
452,Howard Deutch,5214,Male
453,Jon Hurwitz,5215,Male
454,Steven Quale,5216,Male
455,John Landis,5217,Male
456,Alexander Witt,5218,Male
457,Beeban Kidron,5219,Female
458,Carl Franklin,5220,
459,Steven Seagal,5221,Male
460,Danny Boyle,5222,Male
461,Andrew Bergman,5223,
462,Barbet Schroeder,5224,Male
463,Peter Webber,5225,Male
464,Andrew Niccol,5226,Male
465,John Carpenter,5227,Male
466,Wes Anderson,5228,Male
467,David Cronenberg,5229,Male
468,John Stockwell,5230,Male
469,David Gordon Green,5231,Male
470,Jim Sheridan,5232,Male
471,Costa-Gavras,5233,
472,Patrick Read Johnson,5234,Male
473,Richard LaGravenese,5235,Male
474,Danny DeVito,5236,Male
475,George Armitage,5237,
476,Patrick Lussier,5238,
477,James Wong,5239,Male
478,Richard Curtis,5240,Male
479,Chuck Bowman,5241,Male
480,Olivier Megaton,5242,Male
481,Deepa Mehta,5243,Female
482,Warren Beatty,5244,Male
483,Penny Marshall,5245,Female
484,Ted Kotcheff,5246,Male
485,Andrei Tarkovsky,5247,Male
486,Yvette Kaplan,5248,
487,Stephen Frears,5249,
488,P.J. Hogan,5250,Male
489,Brad Furman,5251,Male
490,Terence Young,5252,Male
491,David Zucker,5253,Male
492,Denis Villeneuve,5254,Male
493,Thomas Carter,5255,Male
494,Roger Michell,5256,Male
495,Luis Llosa,5257,Male
496,Melville Shavelson,5258,Male
497,Garth Jennings,5259,Male
498,Joel Zwick,5260,Male
499,Russell Mulcahy,5261,Male
500,David R. Ellis,5262,Male
501,Peter Howitt,5263,Male
502,John A. Davis,5264,Male
503,David Lynch,5265,Male
504,Julie Taymor,5266,Female
505,Mathieu Kassovitz,5267,Male
506,John Gray,5268,Male
507,John Schultz,5269,Male
508,Sean Penn,5270,Male
509,Susan Stroman,5271,Female
510,Simon Wincer,5272,
511,Billy Bob Thornton,5273,Male
512,Danny Pang,5274,Male
513,George P. Cosmatos,5275,Male
514,Oliver Parker,5276,Male
515,Lawrence Kasanoff,5277,Male
516,Ben Affleck,5278,Male
517,Brian Gibson,5279,Male
518,Ben Sharpsteen,5280,Male
519,Michael Cimino,5281,Male
520,Paul McGuigan,5282,
521,Gus Van Sant,5283,Male
522,Roger Kumble,5284,Male
523,Burr Steers,5285,
524,Nick Park,5286,Male
525,John Hamburg,5287,Male
526,Reginald Hudlin,5288,Male
527,Joseph L. Mankiewicz,5289,Male
528,Barbra Streisand,5290,
529,Mark Pellington,5291,Male
530,John Glen,5292,Male
531,Catherine Hardwicke,5293,Female
532,John Herzfeld,5294,Male
533,Annabel Jankel,5295,
534,Julie Anne Robinson,5296,Female
535,Seth Rogen,5297,Male
536,Sngmoo Lee,5298,Male
537,Jamel Debbouze,5299,Male
538,Gordon Chan,5300,
539,Asger Leth,5301,
540,John G. Avildsen,5302,Male
541,Anne Fletcher,5303,Female
542,Bruce Beresford,5304,Male
543,Sam Taylor-Johnson,5305,Female
544,Ken Kwapis,5306,
545,Wes Craven,5307,Male
546,Etan Cohen,5308,
547,Nick Cassavetes,5309,Male
548,Nicholas Stoller,5310,Male
549,Mark A.Z. Dippé,5311,
550,Callan Brunker,5312,
551,Nimród Antal,5313,Male
552,Alejandro Agresti,5314,Male
553,Peter Hedges,5315,Male
554,Paul Weiland,5316,Male
555,Colin Strause,5317,Male
556,Joan Chen,5318,Female
557,Greg Mottola,5319,Male
558,Jake Kasdan,5320,Male
559,Diane Keaton,5321,Female
560,Kelly Makin,5322,Male
561,Stephen Daldry,5323,Male
562,Christian Duguay,5324,Male
563,Justin Chadwick,5325,Male
564,Pat O'Connor,5326,Male
565,Frederik Du Chau,5327,Male
566,Irwin Winkler,5328,Male
567,Joseph Kahn,5329,Male
568,Sofia Coppola,5330,Female
569,Stephen T. Kay,5331,Male
570,Juan Antonio Bayona,5332,Male
571,Elaine May,5333,Female
572,Dennie Gordon,5334,Female
573,Charles Shyer,5335,Male
574,Ulu Grosbard,5336,Male
575,William Malone,5337,Male
576,Malcolm D. Lee,5338,Male
577,Jerry Jameson,5339,Male
578,Mic Rodgers,5340,Male
579,Christian Alvart,5341,Male
580,Jean-Marie Poiré,5342,Male
581,Marc F. Adler,5343,Male
582,Geoffrey Sax,5344,Male
583,Richard Shepard,5345,Male
584,Peter Chan,5346,Male
585,Sergei Bodrov Jr.,5347,Male
586,Bong Joon-ho,5348,Male
587,Bibo Bergeron,5349,Male
588,Jeff Nathanson,5350,Male
589,S.S. Rajamouli,5351,Male
590,Charles S. Dutton,5352,Male
591,Jonathan Lynn,5353,Male
592,David Carson,5354,Male
593,Wong Kar-wai,5355,Male
594,Yuefeng Song,5356,
595,Norman Jewison,5357,Male
596,David Mirkin,5358,Male
597,Luis Mandoki,5359,
598,Lee Daniels,5360,Male
599,Jeb Stuart,5361,Male
600,Steve Miner,5362,Male
601,Paul Thomas Anderson,5363,Male
602,David Leland,5364,Male
603,J Blakeson,5365,Male
604,Ryan Coogler,5366,Male
605,Kirk Jones,5367,
606,Jennifer Flackett,5368,Female
607,Kevin Smith,5369,Male
608,Christian Ditter,5370,Male
609,Charles Martin Smith,5371,Male
610,Fyodor Bondarchuk,5372,Male
611,Irvin Kershner,5373,Male
612,Steve Pink,5374,Male
613,Scott Hicks,5375,Male
614,Kirk De Micco,5376,Male
615,Chris Rock,5377,Male
616,Wilson Yip,5378,Male
617,Robert Wise,5379,Male
618,Kevin Rodney Sullivan,5380,Male
619,Kevin Munroe,5381,Male
620,Mike Tollin,5382,Male
621,Patrick Tatopoulos,5383,Male
622,Gary David Goldberg,5384,Male
623,Tobe Hooper,5385,Male
624,Alan Poul,5386,Male
625,Luke Greenfield,5387,Male
626,Gil Junger,5388,Male
627,Michael Ritchie,5389,Male
628,Steven E. de Souza,5390,Male
629,Alexandre Aja,5391,Male
630,Michael Rymer,5392,Male
631,Hugh Wilson,5393,Male
632,Mike Hodges,5394,
633,Scott Mann,5395,
634,Susanna White,5396,
635,Chris Carter,5397,Male
636,Tommy O'Haver,5398,Male
637,Peter Landesman,5399,
638,Gary Chapman,5400,Male
639,Craig Mazin,5401,Male
640,Allen Hughes,5402,Male
641,Kimble Rendall,5403,
642,Peter Yates,5404,Male
643,Lasse Hallström,5405,Male
644,Jean-Marc Vallée,5406,Male
645,Tsui Hark,5407,Male
646,Lexi Alexander,5408,
647,Ronny Yu,5409,
648,Bille August,5410,Male
649,Moustapha Akkad,5411,Male
650,Jean-Paul Rappeneau,5412,Male
651,Joachim Rønning,5413,
652,Tony Kaye,5414,Male
653,Ken Scott,5415,
654,Hugh Johnson,5416,Male
655,Hayao Miyazaki,5417,Male
656,"George Tillman, Jr.",5418,Male
657,Rand Ravich,5419,Male
658,Hugh Hudson,5420,Male
659,Ben Stassen,5421,Male
660,Chris Gorak,5422,Male
661,Scott Speer,5423,Male
662,Joe Charbanic,5424,Male
663,Jonathan Hensleigh,5425,Male
664,Danny Cannon,5426,Male
665,Boaz Yakin,5427,Male
666,Richard Marquand,5428,Male
667,Neil Marshall,5429,Male
668,David Wain,5430,Male
669,Jared Hess,5431,Male
670,Rupert Wainwright,5432,Male
671,John Luessenhop,5433,Male
672,Justin Zackham,5434,Male
673,John Gatins,5435,Male
674,Miguel Sapochnik,5436,Male
675,Shim Hyung-Rae,5437,Male
676,Don Scardino,5438,Male
677,Tim Robbins,5439,Male
678,Tom Reeve,5440,Male
679,Nanette Burstein,5441,Female
680,Ariel Vromen,5442,Male
681,Lewis Gilbert,5443,Male
682,John Francis Daley,5444,Male
683,J.B. Rogers,5445,
684,Michael Sucsy,5446,Male
685,Tom Vaughan,5447,Male
686,Stephen Hillenburg,5448,Male
687,Stig Bergqvist,5449,
688,Jason Reitman,5450,Male
689,Alexander Payne,5451,
690,Jonathan Levine,5452,Male
691,Rian Johnson,5453,Male
692,Chris Noonan,5454,Male
693,Michael McCullers,5455,Male
694,Forest Whitaker,5456,Male
695,Woody Allen,5457,Male
696,Peter Lepeniotis,5458,
697,Ted Demme,5459,Male
698,William Shatner,5460,Male
699,James Gartner,5461,Male
700,Lee Toland Krieger,5462,Male
701,Tim McCanlies,5463,Male
702,Drew Goddard,5464,Male
703,Jason Friedberg,5465,Male
704,Paul Michael Glaser,5466,Male
705,John R. Leonetti,5467,Male
706,Tom Hanks,5468,Male
707,Kimberly Peirce,5469,
708,Liz Friedlander,5470,Female
709,Phil Joanou,5471,Male
710,Shane Acker,5472,Male
711,Martha Coolidge,5473,Female
712,Stephen Anderson,5474,
713,Troy Miller,5475,Male
714,Tate Taylor,5476,Male
715,Brett Leonard,5477,
716,Alister Grierson,5478,
717,Nick Hurran,5479,Male
718,Charles Stone III,5480,Male
719,Paul Haggis,5481,Male
720,Kurt Wimmer,5482,Male
721,Jean-François Richet,5483,
722,Kevin Hooks,5484,Male
723,Ellory Elkayem,5485,Male
724,Niki Caro,5486,Female
725,Vincenzo Natali,5487,Male
726,Willard Huyck,5488,Male
727,Gavin O'Connor,5489,Male
728,Bruce Hunt,5490,Male
729,Christopher Roberts,5491,Male
730,Kim Jee-woon,5492,
731,Nick Hamm,5493,Male
732,Andy Cadiff,5494,Male
733,Mike Disa,5495,
734,Richard J. Lewis,5496,Male
735,Sergio Leone,5497,Male
736,Niels Arden Oplev,5498,Male
737,Michael Radford,5499,Male
738,Steve Boyum,5500,Male
739,Chen Kaige,5501,Male
740,Corey Yuen Kwai,5502,
741,Andrew Dominik,5503,Male
742,Jackie Chan,5504,Male
743,Laurent Tirard,5505,
744,Reinhard Klooss,5506,Male
745,Frédéric Auburtin,5507,Male
746,Olivier Dahan,5508,Male
747,Maksim Fadeev,5509,
748,Liliana Cavani,5510,Female
749,Elizabeth Banks,5511,Female
750,Edward Norton,5512,Male
751,Ben Falcone,5513,Male
752,Richard Attenborough,5514,Male
753,Don Mancini,5515,Male
754,John Maybury,5516,Male
755,Norton Virgien,5517,Male
756,Shinji Aramaki,5518,
757,Miguel Arteta,5519,Male
758,James Gray,5520,Male
759,Janusz Kamiński,5521,Male
760,Robert B. Weide,5522,
761,Jeff Wadlow,5523,Male
762,Agustín Díaz Yanes,5524,
763,Camille Delamarre,5525,
764,David Lean,5526,Male
765,Richard Eyre,5527,Male
766,Nicholas Meyer,5528,Male
767,Callie Khouri,5529,Female
768,Sanaa Hamri,5530,Female
769,Todd Graff,5531,Male
770,Philip Kaufman,5532,Male
771,Saul Dibb,5533,Male
772,Walter Murch,5534,Male
773,Richard Linklater,5535,Male
774,E. Elias Merhige,5536,
775,Menno Meyjes,5537,Male
776,Jodie Foster,5538,Female
777,Scott Frank,5539,Male
778,Kevin Allen,5540,Male
779,Michael Cristofer,5541,Male
780,Andrew Morahan,5542,Male
781,Bob Rafelson,5543,Male
782,Michael Cohn,5544,Male
783,Alan Shapiro,5545,Male
784,Fernando Meirelles,5546,Male
785,Michael Hoffman,5547,Male
786,Oleg Stepchenko,5548,
787,Michael Winterbottom,5549,Male
788,Michael Pressman,5550,Male
789,Sharon Maguire,5551,Female
790,Charles Herman-Wurmfeld,5552,Male
791,Gábor Csupó,5553,Male
792,Tyler Perry,5554,Male
793,Joe Carnahan,5555,Male
794,John Polson,5556,Male
795,Bernardo Bertolucci,5557,Male
796,Cathy Malkasian,5558,Female
797,Chris Nahon,5559,Male
798,Fred Wolf,5560,Male
799,Bille Woodruff,5561,
800,Victor Salva,5562,Male
801,Mark Helfrich,5563,Male
802,Steve Bendelack,5564,Male
803,Dwight H. Little,5565,
804,Guillaume Canet,5566,Male
805,Kirsten Sheridan,5567,Female
806,Richard Fleischer,5568,
807,Bob Spiers,5569,Male
808,Damien Dante Wayans,5570,Male
809,John Wells,5571,Male
810,Tim Fywell,5572,
811,Nigel Cole,5573,Male
812,Dexter Fletcher,5574,Male
813,Jeremy Leven,5575,Male
814,Sylvain White,5576,Male
815,Troy Nixey,5577,Male
816,Philip G. Atwell,5578,Male
817,Jeff Schaffer,5579,Male
818,James Bridges,5580,Male
819,Steve Barron,5581,Male
820,Bill Paxton,5582,Male
821,Richard Kelly,5583,Male
822,Carter Smith,5584,
823,John Schlesinger,5585,Male
824,Ringo Lam,5586,Male
825,Bruce McCulloch,5587,Male
826,Patricia Riggen,5588,
827,Pascal Chaumeil,5589,Male
828,Jonathan Kaplan,5590,Male
829,Ole Bornedal,5591,Male
830,Richard Benjamin,5592,Male
831,Craig R. Baxley,5593,Male
832,John Hillcoat,5594,Male
833,John Guillermin,5595,Male
834,Marcos Siega,5596,Male
835,Rachel Talalay,5597,Female
836,Jeffrey W. Byrd,5598,
837,Atom Egoyan,5599,Male
838,Robert Towne,5600,Male
839,Giuseppe Tornatore,5601,
840,Werner Herzog,5602,Male
841,Jérôme Deschamps,5603,
842,Inna Evlannikova,5604,Female
843,Jonathan English,5605,Male
844,Sergey Bondarchuk,5606,Male
845,Teddy Chan,5607,
846,Mario Van Peebles,5608,Male
847,Leonard Nimoy,5609,Male
848,Herbert Ross,5610,
849,Bonnie Hunt,5611,Female
850,Neil LaBute,5612,Male
851,Grant Heslov,5613,Male
852,George Gallo,5614,Male
853,Sidney Lumet,5615,
854,Douglas McGrath,5616,Male
855,Kevin Spacey,5617,Male
856,Richard Williams,5618,
857,Mary McGuckian,5619,Female
858,Tony Goldwyn,5620,Male
